INFO 2021-05-27 16:38:57,771 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:38:57,774 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:38:57,775 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:41:52,293 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:41:56,219 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:41:56,219 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:41:56,219 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:42:44,470 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:42:53,700 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 16:42:53,732 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:42:53,733 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:42:53,734 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:43:08,781 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:44:12,089 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:44:16,121 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:44:16,136 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:44:16,136 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:46:38,459 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:48:41,702 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:49:21,461 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:49:35,160 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:49:35,205 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:49:35,219 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:49:42,909 basehttp 154 "OPTIONS /users/login/ HTTP/1.1" 200 0
INFO 2021-05-27 16:49:43,004 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 16:49:43,041 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 16:49:43,042 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 16:49:43,053 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:53:17,258 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 16:53:51,133 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:01:28,136 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:01:28,157 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:01:28,168 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:01:38,077 basehttp 154 "OPTIONS /users/login/ HTTP/1.1" 200 0
INFO 2021-05-27 17:01:38,163 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 17:01:38,185 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:01:38,201 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
